,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
12/02/2022 17:00,42691.48,8878.186,76.43769522,0.243595812,0.110210578,0.400260767,1633,0.78586824,0.119529912,0.489379435
12/02/2022 18:00,42810.01,13863.193,68.0609615,0.192753022,0.088873046,0.402280344,1671,0.297993367,0.180443699,0.480912605
12/02/2022 19:00,42644.67,8677.676,74.34351179,0.173906275,0.088288791,0.395578552,1446,0.434183777,0.086327603,0.512498942
12/02/2022 20:00,42610.01,7166.563,69.10805321,0.246431166,0.111625636,0.399395918,1501,0.388134961,0.050462974,0.522626734
12/02/2022 21:00,41860.01,22261.765,76.43769522,0.19848818,0.090660337,0.403452398,1584,0.68985724,0.085255231,0.422874166
12/02/2022 22:00,42146.33,10900.684,78.53187865,0.209031478,0.097108695,0.405158597,1456,0.713830269,0.119131457,0.533093983
12/02/2022 23:00,42199.87,5733.213,72.24932836,0.176677156,0.072261655,0.420092291,1325,0.742115814,0.084241833,0.368588821
13/02/2022 00:00,42372.41,9127.627,73.29642007,0.213544161,0.089504055,0.405095685,1326,0.401536401,0.133392032,0.446919931
13/02/2022 01:00,42224.88,5502.465,68.0609615,0.188511186,0.097135226,0.420901199,1253,0.30302589,0.119911571,0.387609623
13/02/2022 02:00,42208.21,5279.981,70.15514493,0.210877979,0.101067782,0.378338084,1169,0.802939093,0.251523369,0.463074295
13/02/2022 03:00,42214.65,3937.473,57.59004434,0.200353747,0.078887483,0.406143029,1063,0.916729915,0.036379206,0.483144071
13/02/2022 04:00,42186.35,4281.956,57.59004434,0.246454696,0.077331909,0.42572938,1080,0.9855,0.146657509,0.520482295
13/02/2022 05:00,42245.85,3371.323,64.91968635,0.15817608,0.09263756,0.379493144,935,0.883575851,0.056676136,0.714628427
13/02/2022 06:00,42404,5853.621,58.63713606,0.216136875,0.080714587,0.384703261,991,0.671617544,0.103616071,0.485192689
13/02/2022 07:00,42385.69,4491.013,67.01386978,0.138122353,0.064348377,0.387403719,1092,-0.073966827,0.108047969,0.538595355
13/02/2022 08:00,42424.27,4669.212,70.15514493,0.197581024,0.116331669,0.382699375,1266,0.421369178,0.222166374,0.455011
13/02/2022 09:00,42293.02,4652.464,64.91968635,0.212514159,0.123142414,0.41470579,1094,-0.063478544,0.085124684,0.502085964
13/02/2022 10:00,42552.11,11164.667,65.96677807,0.224971098,0.122208503,0.386694166,1133,0.900978014,0.134362464,0.430622204
13/02/2022 11:00,42462,6422.729,55.49586091,0.226425067,0.114268429,0.397603136,1161,-0.23010229,-0.0127042,0.465318312
13/02/2022 12:00,42454.4,5469.37,63.87259464,0.179765207,0.087235442,0.393052177,1286,0.514095028,0.07278025,0.439151505
13/02/2022 13:00,42489.49,5456.415,60.73131949,0.209684421,0.113864967,0.417090995,1288,0.486773028,0.041506229,0.510614064
13/02/2022 14:00,42519.45,19237.203,62.82550292,0.184681967,0.106938823,0.395874275,1392,0.644240084,0.082356354,0.448289097
13/02/2022 15:00,42548.47,12373.454,61.77841121,0.217962274,0.091525454,0.4150687,1564,0.792766222,0.093146458,0.452292167
13/02/2022 16:00,42292.33,15842.799,69.10805321,0.160162074,0.081630029,0.398997238,1745,0.581530435,0.066159386,0.381322403
13/02/2022 17:00,42252.12,10212.697,67.01386978,0.202292319,0.10184583,0.417040839,1868,0.682017688,0.163558775,0.490845488
13/02/2022 18:00,41965.33,14604.993,70.15514493,0.190033186,0.072030394,0.431986688,1997,0.830424727,0.060289541,0.499455277
13/02/2022 19:00,42015.27,9465.986,73.29642007,0.224847344,0.081312741,0.425362104,1781,-0.027093985,0.129568926,0.454311489
13/02/2022 20:00,42421.79,9304.931,76.43769522,0.216390526,0.103658661,0.404987326,1741,0.41759811,0.100738037,0.35075534
13/02/2022 21:00,42180.55,6391.512,70.15514493,0.237013819,0.094376355,0.425570946,1750,0.580076122,0.070768075,0.485558803
13/02/2022 22:00,42353.38,4841.281,78.53187865,0.214371936,0.079139649,0.414579712,1524,0.369374162,0.05458639,0.554818021
13/02/2022 23:00,42041.13,10112.84,65.96677807,0.252456937,0.107804387,0.395423243,1678,0.695504676,0.059713034,0.386096185
14/02/2022 00:00,42099.98,9210.268,104.7091715,0.162465322,0.055641122,0.443157069,4992,0.893418029,0.161156391,0.455814307
14/02/2022 01:00,41663.77,17730.394,69.10805321,0.299386549,0.12965405,0.417381539,2441,0.155696056,0.081950307,0.480875496
14/02/2022 02:00,41690.84,8084.61,75.39060351,0.211986709,0.110058409,0.386548334,1757,0.404237853,0.109619069,0.493979079
